Year,Annual COâ‚‚ emissions (tonnes )
1900,2330304.0
1901,3909488.0
1902,5825760.0
1903,7895920.0
1904,8914512.0
1905,10259200.0
1906,11717472.0
1907,12930256.0
1908,13402912.0
1909,15385136.0
1910,17411328.0
1911,16865392.0
1912,17953600.0
1913,19606064.0
1914,19551104.0
1915,19606064.0
1916,23251744.0
1917,25343888.0
1918,24728336.0
1919,25446480.0
1920,28051584.0
1921,27985632.0
1922,23973552.0
1923,29048192.0
1924,30631040.0
1925,32180912.0
1926,34437936.0
1927,33837040.0
1928,34771360.0
1929,35808272.0
1930,33701472.0
1931,29469552.0
1932,26629952.0
1933,28502256.0
1934,32539984.0
1935,35914528.0
1936,39025264.0
1937,41846544.0
1938,44022960.0
1939,46858896.0
1940,49650864.0
1941,54033008.0
1942,58829184.0
1943,60126240.0
1944,66648160.0
1945,67531184.0
1946,68168720.0
1947,67952544.0
1948,71744784.0
1949,77354368.0
1950,94941568.0
1951,101203344.0
1952,110425632.0
1953,112078096.0
1954,117640048.0
1955,129529728.0
1956,135260224.0
1957,141752832.0
1958,148769392.0
1959,147841143.3
1960,156567067.8
1961,161994254.1
1962,166334786.6
1963,176334743.0
1964,193639229.6
1965,213634280.9
1966,221081974.5
1967,237045012.2
1968,257282104.4
1969,277915809.1
1970,302623753.9
1971,331868172.1
1972,351877790.8
1973,378012574.7
1974,388408344.3
1975,387307167.4
1976,420186590.8
1977,433019043.8
1978,462508407.8
1979,499039438.4
1980,535662719.8
1981,548541106.2
1982,571681434.7
1983,594483205.9
1984,649208757.0
1985,665646575.4
1986,689587818.6
1987,689585630.7
1988,724597302.5
1989,697746148.0
1990,657850152.1
1991,686854278.6
1992,669557139.1
1993,709543245.0
1994,720231497.0
1995,775510660.8
1996,793572765.9
1997,812679985.0
1998,835329976.3
1999,828335346.2
2000,884531576.9
2001,879118731.4
2002,884151838.9
2003,961971967.9
2004,1033091840.0
2005,1044075215.0
2006,1083798148.0
2007,1126332954.0
2008,1178142922.0
2009,1188275614.0
2010,1193783772.0
2011,1198373015.0
2012,1233842174.0
2013,1250643564.0
2014,1290489212.0
2015,1289003257.0
2016,1310656389.0
2017,1331739959.0
