Entity,COâ‚‚ emissions per capita (tonnes per capita),GDP per capita (international-$ (in 2011 prices)),Total population (Gapminder)
Afghanistan,0.41153126700000003,1792.0,30117000.0
Algeria,3.253892605,13204.0,36661000.0
Angola,1.244588375,8016.0,24221000.0
Argentina,4.567022448,20003.0,41320000.0
Australia,17.9826595,46132.0,22538000.0
Bangladesh,0.400212474,2772.0,149272992.0
Brazil,2.165192377,14831.0,197515008.0
Cameroon,0.274388399,2494.0,20906000.0
Canada,16.23619786,42197.0,34539000.0
China,6.8653270410000005,10221.0,1376498048.0
Colombia,1.6321605430000001,11788.0,45663000.0
Cote d'Ivoire,0.303706798,2444.0,21029000.0
Democratic Republic of Congo,0.036554782,681.0,66755000.0
Egypt,2.482852855,10737.0,84529000.0
Ethiopia,0.08305635,1199.0,90140000.0
France,5.885247303,36691.0,63222000.0
Germany,10.0180706,43189.0,80856000.0
Ghana,0.379492431,3283.0,25388000.0
India,1.456958873,4768.0,1250288000.0
Indonesia,2.447322076,8849.0,245116000.0
Iran,7.670259797000001,18024.0,74635000.0
Iraq,4.1866502510000005,11484.0,30725000.0
Italy,6.918206102999999,35151.0,59589000.0
Japan,9.815919017999999,34979.0,128499000.0
Kenya,0.304283902,2712.0,43178000.0
Madagascar,0.106449393,1347.0,21744000.0
Malaysia,7.601825575,19390.0,28651000.0
Mexico,4.085172062,15210.0,115695000.0
Morocco,1.755918792,7226.0,32782000.0
Mozambique,0.124598023,925.0,24188000.0
Myanmar,0.281318097,3884.0,50991000.0
Nepal,0.19308490399999997,2189.0,27041000.0
Nigeria,0.578506282,5136.0,162804992.0
North Korea,1.910747521,1718.0,24673000.0
Pakistan,0.9090486409999999,4464.0,183340000.0
Peru,1.636132406,10044.0,29264000.0
Philippines,0.876749014,5851.0,95570000.0
Poland,8.655700483,21837.0,38287000.0
Romania,4.402669048,17174.0,20337000.0
Russia,11.95293244,23130.0,143703008.0
Saudi Arabia,17.62372185,48470.0,28268000.0
South Africa,8.97236304,11838.0,52004000.0
South Korea,11.82911087,32225.0,49786000.0
Spain,6.0669362389999995,31600.0,47084000.0
Sri Lanka,0.732788083,8918.0,20398000.0
Sudan,0.44488128899999996,3669.0,35350000.0
Syria,2.690728913,5979.0,21082000.0
Taiwan,11.51329763,38565.0,23269000.0
Tanzania,0.164113316,2227.0,45674000.0
Thailand,4.0846354960000015,13318.0,67518000.0
Turkey,4.696200171,17919.0,73443000.0
Uganda,0.115914034,1890.0,33477000.0
Ukraine,6.737517454,10333.0,45620000.0
United Kingdom,7.3624448529999995,34971.0,64022000.0
United States,17.90928137,49675.0,311584000.0
Uzbekistan,3.888967004,7396.0,28977000.0
Venezuela,5.968642107999999,17746.0,28888000.0
Vietnam,1.6217941999999999,4786.0,88871000.0
Yemen,0.804587168,4088.0,23808000.0
